model,fixed,rolling,regime
ridge,0.5571658615136876,0.5015873015873017,0.48619019370321814
random_forest,0.5442834138486312,0.5220458553791886,0.5198664235645087
xgboost,0.5217391304347826,0.5075837742504408,0.5265426399316573
lightgbm,0.571658615136876,0.509347442680776,0.47775074451333377
lstm,0.48929159802306427,0.5185185185185185,0.48802415218113776
gru,0.4942339373970346,0.5195767195767196,0.48802415218113776
